student_id,university,gender,graduation_year,target_role,cgpa,attendance_percent,internship_count,project_count,certification_count,hackathon_count,programming_language,curriculum_programming_score,industry_programming_required,programming_gap,curriculum_dsa_score,industry_dsa_required,dsa_gap,curriculum_dbms_score,industry_dbms_required,dbms_gap,curriculum_web_development_score,industry_web_development_required,web_development_gap,curriculum_cloud_score,industry_cloud_required,cloud_gap,curriculum_ai_ml_score,industry_ai_ml_required,ai_ml_gap,curriculum_cybersecurity_score,industry_cybersecurity_required,cybersecurity_gap,curriculum_devops_score,industry_devops_required,devops_gap,curriculum_communication_score,industry_communication_required,communication_gap,curriculum_problem_solving_score,industry_problem_solving_required,problem_solving_gap,overall_skill_alignment,average_skill_gap,employability_score,skill_gap_category,placement_status,event_timestamp
STU0013,Andhra University,Other,2026,DevOps Engineer,8.51,86.0,1,2,0.0,0,Python,71.2,72,0.8,58.7,70,11.3,57.7,58,0.3,89.6,50,0.0,62.3,82,19.7,95.0,52,0.0,62.7,48,0.0,91.6,88,0.0,80.9,72,0.0,74.2,80,5.8,96.22,3.78,74.62,Low Gap,Placed,2026-04-02 00:00:00
STU0014,KL University,Male,2025,Full Stack Developer,,68.2,2,4,0.0,0,JavaScript,82.0,82,0.0,79.9,76,0.0,98.0,70,0.0,59.1,88,28.9,67.6,62,0.0,82.4,50,0.0,76.2,42,0.0,75.3,58,0.0,61.0,74,13.0,82.4,80,0.0,95.82,4.18,84.03,Low Gap,Placed,2026-04-14 00:00:00
STU0015,KL University,Female,2025,DevOps Engineer,7.04,81.9,1,3,2.0,0,Python,81.1,72,0.0,58.7,70,11.3,68.5,58,0.0,76.2,50,0.0,80.5,82,1.5,84.2,52,0.0,87.6,48,0.0,68.0,88,20.0,64.6,72,7.4,80.9,80,0.0,95.98,4.02,79.7,Low Gap,Placed,2025-02-27 00:00:00
STU0016,GITAM University,Male,2025,Software Developer,7.6,72.1,1,3,0.0,1,Java,81.2,80,0.0,69.5,78,8.5,68.6,72,3.4,72.6,68,0.0,76.7,60,0.0,68.8,55,0.0,70.8,45,0.0,82.2,50,0.0,62.6,72,9.4,85.4,78,0.0,97.87,2.13,78.69,Low Gap,Not Placed,2025-11-26 00:00:00
STU0017,Vignan University,Female,2026,Cloud Engineer,6.63,96.3,0,2,1.0,0,Python,59.9,70,10.1,45.6,68,22.4,58.1,62,3.9,46.7,55,8.3,47.7,88,40.3,74.0,58,0.0,64.4,45,0.0,73.6,82,8.4,83.0,70,0.0,54.1,76,21.9,88.47,11.53,63.52,Moderate Gap,Not Placed,2025-08-27 00:00:00
STU0018,Vignan University,Male,2026,Full Stack Developer,7.24,84.3,0,1,0.0,0,C++,77.9,82,4.1,69.5,76,6.5,57.3,70,12.7,82.8,88,5.2,65.8,62,0.0,65.1,50,0.0,72.8,42,0.0,74.2,58,0.0,59.9,74,14.1,69.1,80,10.9,94.65,5.35,65.42,Low Gap,Placed,2026-03-22 00:00:00
STU0019,KL University,Female,2026,Data Analyst,5.0,79.6,2,2,2.0,3,C#,57.9,72,14.1,64.2,65,0.8,81.4,78,0.0,60.0,62,2.0,78.5,55,0.0,71.0,78,7.0,67.5,35,0.0,74.3,40,0.0,61.0,75,14.0,75.4,72,0.0,96.21,3.79,85.53,Low Gap,Placed,2026-04-26 00:00:00
STU0020,JNTU Kakinada,Female,2025,Software Developer,7.24,81.9,1,3,4.0,1,JavaScript,87.3,80,0.0,82.1,78,0.0,60.4,72,11.6,76.2,68,0.0,76.8,60,0.0,64.5,55,0.0,83.6,45,0.0,86.7,50,0.0,,72,8.5,81.5,78,0.0,97.99,2.01,85.47,Low Gap,Placed,2025-01-05 00:00:00
STU0021,Andhra University,Male,2027,Full Stack Developer,7.51,72.7,0,3,1.0,1,C#,60.8,82,21.2,43.7,76,32.3,67.9,70,2.1,66.6,88,21.4,76.6,62,0.0,78.3,50,0.0,62.9,42,0.0,62.3,58,0.0,90.3,74,0.0,61.8,80,18.2,90.48,9.52,69.85,Low Gap,Placed,2025-11-08 00:00:00
STU0022,KL University,Male,2026,Cloud Engineer,7.4,80.8,1,2,0.0,0,C#,58.4,70,11.6,61.8,68,6.2,56.9,62,5.1,90.1,55,0.0,80.5,88,7.5,69.8,58,0.0,87.6,45,0.0,70.8,82,11.2,,70,2.3,52.8,76,23.2,93.3,6.7,71.88,Low Gap,Placed,2026-06-02 00:00:00
STU0023,JNTU Kakinada,Female,2025,Data Scientist,7.62,83.1,0,2,0.0,0,Java,62.7,78,15.3,53.5,75,21.5,57.4,72,14.6,60.8,55,0.0,37.3,52,14.7,75.5,88,12.5,72.0,40,0.0,66.3,45,0.0,77.5,75,0.0,54.4,82,27.6,89.39,10.61,62.75,Moderate Gap,Not Placed,2026-01-27 00:00:00
STU0024,Vignan University,Female,2027,Full Stack Developer,7.77,73.8,2,3,2.0,1,C#,87.8,82,0.0,88.1,76,0.0,69.6,70,0.4,77.8,88,10.2,85.9,62,0.0,59.4,50,0.0,95.1,42,0.0,98.0,58,0.0,75.0,74,0.0,83.9,80,0.0,98.94,1.06,89.64,Low Gap,Placed,2025-11-25 00:00:00
STU0025,Vignan University,Male,2027,Full Stack Developer,7.15,95.5,3,5,0.0,0,Python,88.5,82,0.0,94.7,76,0.0,92.7,70,0.0,94.7,88,0.0,92.5,62,0.0,92.0,50,0.0,79.5,42,0.0,78.2,58,0.0,62.8,74,11.2,79.7,80,0.3,98.84,1.16,95.14,Low Gap,Placed,2026-02-26 00:00:00
STU0026,GITAM University,Male,2027,Software Developer,9.13,71.1,1,1,0.0,1,C++,55.2,80,24.8,57.1,78,20.9,65.4,72,6.6,85.5,68,0.0,87.6,60,0.0,95.0,55,0.0,74.2,45,0.0,84.5,50,0.0,67.7,72,4.3,60.7,78,17.3,92.61,7.39,72.16,Low Gap,Placed,2025-04-28 00:00:00
STU0027,KL University,Male,2025,DevOps Engineer,7.38,73.2,2,2,0.0,1,JavaScript,83.1,72,0.0,83.9,70,0.0,77.6,58,0.0,95.2,50,0.0,63.4,82,18.6,57.7,52,0.0,51.3,48,0.0,90.6,88,0.0,98.0,72,0.0,75.6,80,4.4,97.7,2.3,82.75,Low Gap,Placed,2026-04-05 00:00:00
STU0028,KL University,Male,2027,Data Analyst,7.7,76.6,0,1,0.0,2,Java,79.9,72,0.0,71.0,65,0.0,58.3,78,19.7,69.3,62,0.0,59.6,55,0.0,49.4,78,28.6,51.1,35,0.0,70.7,40,0.0,64.0,75,11.0,79.7,72,0.0,94.07,5.93,66.92,Low Gap,Not Placed,2026-07-29 00:00:00
STU0029,Andhra University,Female,2027,Data Analyst,8.27,81.7,1,1,3.0,0,JavaScript,62.0,72,10.0,61.1,65,3.9,67.7,78,10.3,87.2,62,0.0,68.3,55,0.0,68.5,78,9.5,81.7,35,0.0,76.5,40,0.0,67.4,75,7.6,69.5,72,2.5,95.63,4.37,75.84,Low Gap,Placed,2025-08-03 00:00:00
STU0030,SRM University,Male,2025,Software Developer,6.87,81.7,1,1,2.0,0,JavaScript,61.3,80,18.7,76.9,78,1.1,81.0,72,0.0,82.8,68,0.0,43.0,60,17.0,63.8,55,0.0,63.4,45,0.0,51.0,50,0.0,82.6,72,0.0,75.7,78,2.3,96.08,3.92,73.68,Low Gap,Placed,2026-03-19 00:00:00
STU0031,GITAM University,Female,2025,Data Scientist,7.71,90.8,2,4,4.0,1,C++,67.6,78,10.4,75.7,75,0.0,90.7,72,0.0,79.4,55,0.0,96.2,52,0.0,93.5,88,0.0,98.0,40,0.0,98.0,45,0.0,67.6,75,7.4,68.1,82,13.9,96.83,3.17,94.12,Low Gap,Placed,2025-09-13 00:00:00
STU0032,Vignan University,Female,2027,Data Scientist,7.52,90.7,2,3,0.0,0,Java,78.1,78,0.0,83.3,75,0.0,86.5,72,0.0,71.0,55,0.0,73.5,52,0.0,63.0,88,25.0,79.7,40,0.0,58.9,45,0.0,76.9,75,0.0,77.4,82,4.6,97.04,2.96,82.12,Low Gap,Placed,2025-01-27 00:00:00
STU0033,SRM University,Female,2025,Cloud Engineer,7.52,100.0,1,4,1.0,1,Java,57.6,70,12.4,38.0,68,30.0,81.6,62,0.0,77.2,55,0.0,89.7,88,0.0,78.4,58,0.0,88.8,45,0.0,97.9,82,0.0,55.8,70,14.2,47.0,76,29.0,91.44,8.56,78.51,Low Gap,Placed,2026-05-22 00:00:00
STU0034,GITAM University,Male,2025,Data Analyst,7.72,81.7,2,3,0.0,2,Java,98.0,72,0.0,82.6,65,0.0,89.8,78,0.0,85.5,62,0.0,59.2,55,0.0,69.4,78,8.6,75.1,35,0.0,77.2,40,0.0,78.9,75,0.0,93.0,72,0.0,99.14,0.86,87.87,Low Gap,Placed,2026-04-30 00:00:00
STU0035,SRM University,Male,2026,Software Developer,8.68,91.3,0,3,0.0,1,C++,52.9,80,27.1,64.4,78,13.6,80.6,72,0.0,69.3,68,0.0,74.0,60,0.0,74.5,55,0.0,92.6,45,0.0,72.0,50,0.0,87.2,72,0.0,67.7,78,10.3,94.91,5.09,72.27,Low Gap,Placed,2025-05-11 00:00:00
STU0036,GITAM University,Female,2026,Software Developer,5.99,100.0,2,3,1.0,2,C++,79.5,80,0.5,70.9,78,7.1,45.2,72,26.8,68.5,68,0.0,59.5,60,0.5,98.0,55,0.0,65.9,45,0.0,65.6,50,0.0,65.0,72,7.0,87.4,78,0.0,95.81,4.19,84.78,Low Gap,Placed,2026-03-05 00:00:00
STU0037,Andhra University,Male,2025,Data Analyst,6.05,71.1,2,2,3.0,1,JavaScript,68.2,72,3.8,71.8,65,0.0,97.9,78,0.0,62.2,62,0.0,84.2,55,0.0,89.6,78,0.0,51.3,35,0.0,71.1,40,0.0,57.3,75,17.7,65.6,72,6.4,97.21,2.79,85.32,Low Gap,Not Placed,2026-06-05 00:00:00
STU0038,Andhra University,Male,2026,Data Scientist,7.47,94.8,2,2,2.0,0,Java,72.4,78,5.6,90.5,75,0.0,61.1,72,10.9,97.9,55,0.0,98.0,52,0.0,71.9,88,16.1,74.6,40,0.0,82.7,45,0.0,60.7,75,14.3,80.3,82,1.7,95.15,4.85,83.53,Low Gap,Placed,2025-11-24 00:00:00
STU0039,GITAM University,Male,2027,Full Stack Developer,8.33,82.3,1,3,1.0,2,Java,80.6,82,1.4,89.0,76,0.0,74.2,70,0.0,85.3,88,2.7,75.5,62,0.0,75.5,50,0.0,64.7,42,0.0,69.8,58,0.0,77.4,74,0.0,84.2,80,0.0,99.59,0.41,83.6,Low Gap,Placed,2025-09-15 00:00:00
STU0040,JNTU Kakinada,Female,2026,DevOps Engineer,7.48,83.7,1,2,1.0,1,Java,72.8,72,0.0,72.7,70,0.0,74.8,58,0.0,75.2,50,0.0,,82,0.0,71.1,52,0.0,75.5,48,0.0,79.5,88,8.5,58.1,72,13.9,80.2,80,0.0,97.76,2.24,78.52,Low Gap,Placed,2025-01-22 00:00:00
STU0041,KL University,Male,2027,Full Stack Developer,7.15,85.4,2,1,0.0,0,JavaScript,89.6,82,0.0,90.0,76,0.0,64.2,70,5.8,93.4,88,0.0,53.4,62,8.6,44.4,50,5.6,76.1,42,0.0,64.8,58,0.0,53.4,74,20.6,85.9,80,0.0,95.94,4.06,76.63,Low Gap,Not Placed,2026-03-16 00:00:00
STU0042,Andhra University,Female,2027,Data Scientist,8.3,65.4,1,4,2.0,0,Python,73.2,78,4.8,71.5,75,3.5,88.3,72,0.0,66.1,55,0.0,98.0,52,0.0,65.5,88,22.5,81.9,40,0.0,78.1,45,0.0,85.7,75,0.0,67.8,82,14.2,95.5,4.5,82.26,Low Gap,Not Placed,2026-01-13 00:00:00
STU0043,KL University,Female,2025,Full Stack Developer,7.06,98.2,0,3,0.0,1,Python,79.4,82,2.6,67.7,76,8.3,63.9,70,6.1,46.6,88,41.4,63.8,62,0.0,40.2,50,9.8,50.3,42,0.0,78.4,58,0.0,68.3,74,5.7,73.2,80,6.8,91.92,8.08,67.82,Low Gap,Not Placed,2025-08-30 00:00:00
STU0044,Andhra University,Male,2026,Software Developer,6.67,79.6,0,3,0.0,1,Java,63.5,80,16.5,68.3,78,9.7,72.0,72,0.0,58.6,68,9.4,59.2,60,0.8,67.9,55,0.0,55.0,45,0.0,86.3,50,0.0,79.4,72,0.0,61.9,78,16.1,94.76,5.24,70.31,Low Gap,Not Placed,2025-01-07 00:00:00
STU0045,Vignan University,Male,2025,Full Stack Developer,9.26,75.8,1,4,0.0,0,JavaScript,75.6,82,6.4,74.0,76,2.0,79.6,70,0.0,88.5,88,0.0,89.7,62,0.0,76.5,50,0.0,83.1,42,0.0,98.0,58,0.0,86.7,74,0.0,75.6,80,4.4,98.72,1.28,82.24,Low Gap,Placed,2025-07-26 00:00:00
STU0046,KL University,Male,2027,Data Analyst,6.78,77.7,1,3,4.0,0,Java,93.7,72,0.0,75.9,65,0.0,87.4,78,0.0,95.0,62,0.0,69.3,55,0.0,87.8,78,0.0,74.3,35,0.0,72.7,40,0.0,83.5,75,0.0,95.1,72,0.0,100.0,0.0,87.04,Low Gap,Placed,2026-06-04 00:00:00
STU0047,Vignan University,Female,2027,Cloud Engineer,7.78,61.1,1,1,1.0,0,C++,87.2,70,0.0,71.1,68,0.0,89.6,62,0.0,78.5,55,0.0,71.1,88,16.9,59.3,58,0.0,57.3,45,0.0,48.3,82,33.7,77.1,70,0.0,75.3,76,0.7,94.86,5.14,72.63,Low Gap,Placed,2025-12-27 00:00:00
STU0048,Vignan University,Male,2026,Software Developer,7.36,75.3,1,3,1.0,1,C++,57.2,80,22.8,50.4,78,27.6,84.5,72,0.0,86.0,68,0.0,70.9,60,0.0,91.9,55,0.0,98.0,45,0.0,69.0,50,0.0,63.4,72,8.6,49.4,78,28.6,91.24,8.76,76.68,Low Gap,Placed,2025-06-10 00:00:00
STU0049,GITAM University,Male,2025,DevOps Engineer,9.18,80.1,0,2,3.0,1,C#,80.9,72,0.0,77.9,70,0.0,84.3,58,0.0,54.1,50,0.0,70.4,82,11.6,85.2,52,0.0,86.3,48,0.0,69.4,88,18.6,86.9,72,0.0,79.2,80,0.8,96.9,3.1,76.85,Low Gap,Not Placed,2025-12-11 00:00:00
STU0050,Andhra University,Female,2026,Full Stack Developer,7.19,,0,3,4.0,0,Python,61.9,82,20.1,47.7,76,28.3,79.6,70,0.0,79.5,88,8.5,80.8,62,0.0,95.1,50,0.0,81.1,42,0.0,72.8,58,0.0,77.3,74,0.0,59.0,80,21.0,92.21,7.79,75.54,Low Gap,Not Placed,2025-12-31 00:00:00
STU0051,GITAM University,Male,2027,DevOps Engineer,6.72,69.0,1,4,1.0,0,C#,63.6,72,8.4,47.7,70,22.3,90.9,58,0.0,83.3,50,0.0,63.0,82,19.0,98.0,52,0.0,83.0,48,0.0,67.3,88,20.7,,72,0.0,44.1,80,35.9,89.36,10.64,76.3,Moderate Gap,Placed,2025-12-09 00:00:00
STU0052,Vignan University,Male,2026,DevOps Engineer,9.55,79.6,2,1,3.0,1,Python,98.0,72,0.0,98.0,70,0.0,80.7,58,0.0,69.7,50,0.0,85.3,82,0.0,91.1,52,0.0,73.1,48,0.0,98.0,88,0.0,82.7,72,0.0,92.2,80,0.0,100.0,0.0,89.06,Low Gap,Placed,2025-01-02 00:00:00
STU0053,Vignan University,Male,2025,Full Stack Developer,8.04,73.3,0,3,2.0,0,Java,54.3,82,27.7,52.8,76,23.2,73.2,70,0.0,80.1,88,7.9,76.1,62,0.0,89.8,50,0.0,74.9,42,0.0,68.3,58,0.0,64.8,74,9.2,53.9,80,26.1,90.58,9.42,70.41,Low Gap,Placed,2026-01-13 00:00:00
STU0054,SRM University,Female,2025,Data Scientist,7.07,75.5,2,3,2.0,0,Java,87.7,78,0.0,84.2,75,0.0,98.0,72,0.0,62.7,55,0.0,80.6,52,0.0,84.5,88,3.5,81.9,40,0.0,74.7,45,0.0,94.9,75,0.0,92.7,82,0.0,99.65,0.35,89.1,Low Gap,Placed,2025-03-18 00:00:00
STU0055,KL University,Female,2025,Data Scientist,8.94,90.3,1,3,2.0,0,Java,97.0,78,0.0,80.6,75,0.0,64.7,72,7.3,97.0,55,0.0,86.5,52,0.0,87.5,88,0.5,94.2,40,0.0,68.8,45,0.0,65.4,75,9.6,80.3,82,1.7,98.09,1.91,82.8,Low Gap,Placed,2026-06-01 00:00:00
STU0056,KL University,Other,2027,Data Scientist,9.26,64.1,1,3,4.0,1,JavaScript,89.7,78,0.0,73.5,75,1.5,90.2,72,0.0,76.7,55,0.0,84.5,52,0.0,91.9,88,0.0,86.1,40,0.0,91.6,45,0.0,68.5,75,6.5,80.8,82,1.2,99.08,0.92,88.09,Low Gap,Placed,2026-02-04 00:00:00
STU0057,Andhra University,Male,2027,Cloud Engineer,,88.9,0,4,0.0,0,C++,81.6,70,0.0,92.7,68,0.0,78.4,62,0.0,98.0,55,0.0,73.1,88,14.9,71.6,58,0.0,62.7,45,0.0,58.1,82,23.9,76.8,70,0.0,87.5,76,0.0,96.11,3.89,74.67,Low Gap,Not Placed,2025-09-19 00:00:00
STU0058,GITAM University,Male,2027,DevOps Engineer,7.52,82.2,1,3,1.0,1,C#,45.1,72,26.9,69.4,70,0.6,77.8,58,0.0,70.4,50,0.0,,82,12.7,68.1,52,0.0,86.5,48,0.0,83.2,88,4.8,51.4,72,20.6,63.6,80,16.4,91.8,8.2,75.86,Low Gap,Placed,2025-12-02 00:00:00
STU0059,SRM University,Female,2026,Software Developer,8.01,91.0,0,3,1.0,0,C#,77.3,80,2.7,91.7,78,0.0,83.1,72,0.0,68.9,68,0.0,54.6,60,5.4,89.5,55,0.0,88.2,45,0.0,50.3,50,0.0,55.1,72,16.9,83.8,78,0.0,97.5,2.5,73.65,Low Gap,Placed,2025-04-09 00:00:00
STU0060,Andhra University,Female,2026,Cloud Engineer,8.31,95.7,0,2,0.0,0,JavaScript,88.8,70,0.0,86.1,68,0.0,77.7,62,0.0,83.2,55,0.0,80.7,88,7.3,93.2,58,0.0,59.9,45,0.0,77.2,82,4.8,73.3,70,0.0,90.4,76,0.0,98.79,1.21,72.77,Low Gap,Placed,2026-07-28 00:00:00
STU0061,Vignan University,Male,2025,Data Analyst,6.81,87.2,1,2,2.0,1,Python,69.4,72,2.6,77.5,65,0.0,80.7,78,0.0,55.2,62,6.8,49.9,55,5.1,70.8,78,7.2,66.2,35,0.0,77.5,40,0.0,73.0,75,2.0,75.7,72,0.0,97.63,2.37,78.31,Low Gap,Placed,2025-07-11 00:00:00
STU0062,Vignan University,Female,2027,Data Analyst,7.51,67.6,2,1,3.0,0,Python,69.5,72,2.5,84.8,65,0.0,89.0,78,0.0,77.7,62,0.0,84.0,55,0.0,66.7,78,11.3,76.4,35,0.0,60.1,40,0.0,71.6,75,3.4,75.6,72,0.0,98.29,1.71,83.4,Low Gap,Placed,2025-02-12 00:00:00
STU0063,KL University,Female,2026,DevOps Engineer,5.65,83.7,1,5,3.0,2,JavaScript,66.2,72,5.8,62.1,70,7.9,88.5,58,0.0,47.1,50,2.9,64.0,82,18.0,71.8,52,0.0,84.9,48,0.0,74.0,88,14.0,60.9,72,11.1,63.4,80,16.6,92.38,7.62,84.56,Low Gap,Placed,2025-05-29 00:00:00
STU0064,JNTU Kakinada,Male,2026,DevOps Engineer,8.06,82.4,1,2,0.0,0,JavaScript,83.4,72,0.0,98.0,70,0.0,75.8,58,0.0,83.7,50,0.0,47.8,82,34.2,60.0,52,0.0,69.0,48,0.0,77.2,88,10.8,86.9,72,0.0,82.2,80,0.0,95.5,4.5,74.9,Low Gap,Not Placed,2025-08-21 00:00:00
STU0065,SRM University,Female,2026,Full Stack Developer,7.99,88.6,2,3,0.0,1,Java,85.3,82,0.0,89.0,76,0.0,74.2,70,0.0,87.5,88,0.5,95.4,62,0.0,80.8,50,0.0,84.2,42,0.0,98.0,58,0.0,82.0,74,0.0,74.8,80,5.2,99.43,0.57,87.78,Low Gap,Placed,2025-05-08 00:00:00
STU0066,Andhra University,Other,2027,Software Developer,7.9,86.9,1,2,2.0,1,JavaScript,80.4,80,0.0,80.8,78,0.0,66.0,72,6.0,81.5,68,0.0,90.5,60,0.0,64.5,55,0.0,94.1,45,0.0,96.0,50,0.0,82.1,72,0.0,86.4,78,0.0,99.4,0.6,82.9,Low Gap,Placed,2025-03-11 00:00:00
STU0067,GITAM University,Female,2025,Cloud Engineer,8.07,85.0,1,3,1.0,1,C++,91.9,70,0.0,98.0,68,0.0,80.0,62,0.0,67.8,55,0.0,98.0,88,0.0,74.3,58,0.0,79.4,45,0.0,69.6,82,12.4,65.9,70,4.1,98.0,76,0.0,98.35,1.65,82.94,Low Gap,Placed,2025-11-15 00:00:00
STU0068,KL University,Female,2026,Full Stack Developer,8.26,82.7,1,2,2.0,0,C#,93.2,82,0.0,91.0,76,0.0,75.4,70,0.0,84.9,88,3.1,85.9,62,0.0,66.6,50,0.0,90.2,42,0.0,82.9,58,0.0,84.8,74,0.0,98.0,80,0.0,99.69,0.31,82.44,Low Gap,Not Placed,2026-05-20 00:00:00
STU0069,KL University,Female,2026,DevOps Engineer,8.17,97.1,1,4,3.0,1,C++,78.7,72,0.0,72.0,70,0.0,68.9,58,0.0,52.0,50,0.0,94.0,82,0.0,84.4,52,0.0,96.6,48,0.0,98.0,88,0.0,82.6,72,0.0,72.9,80,7.1,99.29,0.71,87.69,Low Gap,Placed,2026-02-12 00:00:00
STU0070,JNTU Kakinada,Female,2026,Data Scientist,7.46,90.0,3,3,1.0,2,Python,75.2,78,2.8,64.3,75,10.7,77.7,72,0.0,96.2,55,0.0,98.0,52,0.0,67.8,88,20.2,70.4,40,0.0,81.5,45,0.0,72.0,75,3.0,62.3,82,19.7,94.36,5.64,90.93,Low Gap,Placed,2026-03-02 00:00:00
STU0071,JNTU Kakinada,Male,2025,DevOps Engineer,6.71,87.1,1,3,3.0,1,Java,64.7,72,7.3,66.5,70,3.5,69.3,58,0.0,67.9,50,0.0,82.0,82,0.0,69.0,52,0.0,86.6,48,0.0,98.0,88,0.0,65.6,72,6.4,78.3,80,1.7,98.09,1.91,83.57,Low Gap,Placed,2026-06-01 00:00:00
STU0072,Vignan University,Female,2025,Data Analyst,6.94,60.7,1,3,0.0,1,C#,54.9,72,17.1,50.4,65,14.6,83.5,78,0.0,59.3,62,2.7,57.5,55,0.0,61.3,78,16.7,55.6,35,0.0,68.5,40,0.0,48.9,75,26.1,50.6,72,21.4,90.14,9.86,70.78,Low Gap,Not Placed,2025-01-26 00:00:00
